mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,total_hpo_search_time_s,final_model_training_time_s
0.02599344253540039,0.0012070204293937283,0.005580711364746094,0.001959837517543712,0.00013289448722869195,{'alpha': np.float64(0.00013289448722869195)},-1.0366525862086922,-1.0307162204638536,-1.0428786151955054,-1.063397450733523,-1.0156248688117164,-1.0378539482826583,0.01564762089530513,69,8.690146923065186,0.032961368560791016
0.026661062240600587,0.007213844498094833,0.006520748138427734,0.0027216699479363166,65.98711072054076,{'alpha': np.float64(65.98711072054076)},-1.0469224346341492,-1.0443189300459157,-1.054617434361408,-1.0748229794345507,-1.0258567924303714,-1.049307714181279,0.015872902355716076,99,8.690146923065186,0.032961368560791016
0.03670048713684082,0.019634559833757403,0.006326150894165039,0.0018181336154597025,9.877700294007917,{'alpha': np.float64(9.877700294007917)},-1.038454815687255,-1.0323859672458502,-1.0461385899784816,-1.0652456368020953,-1.0173926495089936,-1.039923531844535,0.015788911381967093,87,8.690146923065186,0.032961368560791016
0.03793478012084961,0.01527362940604034,0.016304445266723634,0.010320801218701681,0.0018794668241638478,{'alpha': np.float64(0.0018794668241638478)},-1.0366525681132437,-1.030715593728948,-1.0428789053476952,-1.0633972746086204,-1.015624018568222,-1.0378536720733458,0.0156478810582987,42,8.690146923065186,0.032961368560791016
0.032590198516845706,0.010651227774129331,0.006250715255737305,0.0013143667356211462,0.0012329623163659848,{'alpha': np.float64(0.0012329623163659848)},-1.0366525747657171,-1.030715825597092,-1.0428787978893712,-1.0633973397344874,-1.0156243331275552,-1.0378537742228446,0.015647784789070723,48,8.690146923065186,0.032961368560791016
0.026897478103637695,0.004601408909482759,0.005189275741577149,0.00084929381246226,0.0012601639723276807,{'alpha': np.float64(0.0012601639723276807)},-1.0366525744847328,-1.0307158158383674,-1.0428788024093345,-1.063397336992711,-1.0156243198886092,-1.037853769922751,0.01564778884034581,47,8.690146923065186,0.032961368560791016
0.0264376163482666,0.0042897547782998315,0.006191444396972656,0.0007263907954415356,0.006690421166498805,{'alpha': np.float64(0.006690421166498805)},-1.0366525202929844,-1.0307138727705074,-1.0428797070876796,-1.0633967924772725,-1.0156216838089895,-1.0378529152874867,0.01564859627533366,36,8.690146923065186,0.032961368560791016
0.026154136657714842,0.0033801565915338276,0.006183052062988281,0.00012266422497864444,0.14077923139972406,{'alpha': np.float64(0.14077923139972406)},-1.0366523534620762,-1.0306690072651088,-1.0429034919066789,-1.0633850855372855,-1.0155607772650184,-1.0378341430872333,0.015667722110485154,14,8.690146923065186,0.032961368560791016
0.04656991958618164,0.030865919955685314,0.0050542354583740234,0.0012792262245537654,0.039054412752107935,{'alpha': np.float64(0.039054412752107935)},-1.036652275259695,-1.0307024997101588,-1.0428851955197378,-1.0633936629739695,-1.0156062518831261,-1.0378479770693374,0.015653354444477612,23,8.690146923065186,0.032961368560791016
0.06328787803649902,0.04608334818059959,0.012227487564086915,0.012640805667541642,0.005589524205217926,{'alpha': np.float64(0.005589524205217926)},-1.0366525309739847,-1.0307142658825212,-1.0428795232995962,-1.0633969024151246,-1.0156222171377665,-1.0378530879417986,0.015648432793007604,38,8.690146923065186,0.032961368560791016
0.08449354171752929,0.042072172727329465,0.018333053588867186,0.0099225939540352,0.4689400963537689,{'alpha': np.float64(0.4689400963537689)},-1.0366607103403556,-1.0305824012358207,-1.0429723088421647,-1.0633694133376281,-1.0154428465885412,-1.0378055360689022,0.015708478891742986,4,8.690146923065186,0.032961368560791016
0.10231289863586426,0.04225430125732305,0.014241218566894531,0.005383020201714087,0.0006870101665590031,{'alpha': np.float64(0.0006870101665590031)},-1.0366525804253162,-1.0307160215135796,-1.042878707196193,-1.0633973947932787,-1.0156245989124202,-1.0378538605681575,0.015647703463799994,53,8.690146923065186,0.032961368560791016
