mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,total_hpo_time_s,final_model_training_time_s
5.995385694503784,0.17000942013140255,0.06117191314697266,0.00615000106835614,0.8688542189623514,0.3808098076643588,0.04064563159885995,11,8,1336,0.6323058305935795,0.6335297107608947,0.8143098736299034,"{'colsample_bytree': np.float64(0.8688542189623514), 'gamma': np.float64(0.3808098076643588), 'learning_rate': np.float64(0.04064563159885995), 'max_depth': 11, 'min_child_weight': 8, 'n_estimators': 1336, 'reg_alpha': np.float64(0.6323058305935795), 'reg_lambda': np.float64(0.6335297107608947), 'subsample': np.float64(0.8143098736299034)}",-0.257387227807977,-0.2709090667160368,-0.2843481385317022,-0.2927811019502888,-0.2599758093565609,-0.2730802688725132,0.013695256306309776,17,397.50853204727173,3.6126084327697754
4.735527467727661,0.08217345019912783,0.046463727951049805,0.005301990385817205,0.6361159080217633,0.417651247794619,0.05311700974576037,11,3,1159,0.32595890520188475,0.2202410475655483,0.884459812975207,"{'colsample_bytree': np.float64(0.6361159080217633), 'gamma': np.float64(0.417651247794619), 'learning_rate': np.float64(0.05311700974576037), 'max_depth': 11, 'min_child_weight': 3, 'n_estimators': 1159, 'reg_alpha': np.float64(0.32595890520188475), 'reg_lambda': np.float64(0.2202410475655483), 'subsample': np.float64(0.884459812975207)}",-0.25748866750290683,-0.28074206924533224,-0.29116370335959524,-0.29084427175541716,-0.2673913866634753,-0.2775260197053454,0.013250747133231535,50,397.50853204727173,3.6126084327697754
12.465399789810181,0.2699003320007413,0.11876473426818848,0.004234485457895416,0.9238004184558861,0.1743329936458647,0.019426482663713114,6,1,1435,0.3867353463005374,0.9367299887367345,0.6550083776583973,"{'colsample_bytree': np.float64(0.9238004184558861), 'gamma': np.float64(0.1743329936458647), 'learning_rate': np.float64(0.019426482663713114), 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 1435, 'reg_alpha': np.float64(0.3867353463005374), 'reg_lambda': np.float64(0.9367299887367345), 'subsample': np.float64(0.6550083776583973)}",-0.2587596709480455,-0.26890904693966805,-0.28240633893626726,-0.29368781279796136,-0.26317257723369475,-0.2733870893711274,0.012898191550125985,23,397.50853204727173,3.6126084327697754
4.27143440246582,0.24395177733264198,0.036205196380615236,0.007172634884183706,0.7364265404201034,0.056736760620294535,0.14370404274178442,11,3,762,0.659984046034179,0.8172222002012158,0.822080324639785,"{'colsample_bytree': np.float64(0.7364265404201034), 'gamma': np.float64(0.056736760620294535), 'learning_rate': np.float64(0.14370404274178442), 'max_depth': 11, 'min_child_weight': 3, 'n_estimators': 762, 'reg_alpha': np.float64(0.659984046034179), 'reg_lambda': np.float64(0.8172222002012158), 'subsample': np.float64(0.822080324639785)}",-0.2706542500571701,-0.28646719639849716,-0.296757229846605,-0.3044650552352833,-0.28155384125856725,-0.28797951455922455,0.011769133448988452,92,397.50853204727173,3.6126084327697754
11.359701681137086,0.24686169331353758,0.08519387245178223,0.0019600882052511954,0.8118602313424026,0.12092614545022584,0.018965415170884882,9,5,536,0.8826363431893397,0.18870710834137938,0.7115485410368727,"{'colsample_bytree': np.float64(0.8118602313424026), 'gamma': np.float64(0.12092614545022584), 'learning_rate': np.float64(0.018965415170884882), 'max_depth': 9, 'min_child_weight': 5, 'n_estimators': 536, 'reg_alpha': np.float64(0.8826363431893397), 'reg_lambda': np.float64(0.18870710834137938), 'subsample': np.float64(0.7115485410368727)}",-0.25545246204049665,-0.27285388668239213,-0.28083624709701377,-0.2873892800049576,-0.2587627039154287,-0.27105891594805775,0.012330913579168006,8,397.50853204727173,3.6126084327697754
3.721671533584595,0.22911079656178296,0.043571090698242186,0.004454714786268662,0.8801431319891084,0.42333057111915295,0.13344864378171387,11,8,1172,0.6420316461542878,0.08413996499504883,0.6646514856378455,"{'colsample_bytree': np.float64(0.8801431319891084), 'gamma': np.float64(0.42333057111915295), 'learning_rate': np.float64(0.13344864378171387), 'max_depth': 11, 'min_child_weight': 8, 'n_estimators': 1172, 'reg_alpha': np.float64(0.6420316461542878), 'reg_lambda': np.float64(0.08413996499504883), 'subsample': np.float64(0.6646514856378455)}",-0.2693963666259074,-0.2831493052025627,-0.28532211382013856,-0.30639680077767223,-0.2672042587845394,-0.282293769042164,0.014034922600148334,73,397.50853204727173,3.6126084327697754
15.518360090255737,0.24401368416111055,0.07435722351074218,0.0012165407036000171,0.9594216754108317,0.30321452982979497,0.006379557742494447,11,9,598,0.9736638367553173,0.2839209747374657,0.7221455441377573,"{'colsample_bytree': np.float64(0.9594216754108317), 'gamma': np.float64(0.30321452982979497), 'learning_rate': np.float64(0.006379557742494447), 'max_depth': 11, 'min_child_weight': 9, 'n_estimators': 598, 'reg_alpha': np.float64(0.9736638367553173), 'reg_lambda': np.float64(0.2839209747374657), 'subsample': np.float64(0.7221455441377573)}",-0.254542112859722,-0.27120913472412905,-0.28219981290769314,-0.29068125733515915,-0.2607781112584631,-0.2718820858170333,0.013298797828498275,14,397.50853204727173,3.6126084327697754
3.2278825283050536,0.13960977682098757,0.03894333839416504,0.002385832577367516,0.7942455014344907,0.22421207149312367,0.1541686193916231,9,1,1079,0.23724908749680007,0.3253996981592677,0.8985965620472096,"{'colsample_bytree': np.float64(0.7942455014344907), 'gamma': np.float64(0.22421207149312367), 'learning_rate': np.float64(0.1541686193916231), 'max_depth': 9, 'min_child_weight': 1, 'n_estimators': 1079, 'reg_alpha': np.float64(0.23724908749680007), 'reg_lambda': np.float64(0.3253996981592677), 'subsample': np.float64(0.8985965620472096)}",-0.27040572890551284,-0.279801323881411,-0.30467444578498626,-0.3012491112150037,-0.27252357962911505,-0.28573083788320575,0.014450791394264072,87,397.50853204727173,3.6126084327697754
2.2502047538757326,0.04092867455422232,0.032933521270751956,0.0017409394480101031,0.8598531596188859,0.42461170524708897,0.1036419338450515,6,3,969,0.26520236768172545,0.24398964337908358,0.9892042219009782,"{'colsample_bytree': np.float64(0.8598531596188859), 'gamma': np.float64(0.42461170524708897), 'learning_rate': np.float64(0.1036419338450515), 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 969, 'reg_alpha': np.float64(0.26520236768172545), 'reg_lambda': np.float64(0.24398964337908358), 'subsample': np.float64(0.9892042219009782)}",-0.2561761655493411,-0.276975348847312,-0.28706520268397356,-0.2933063873537669,-0.2611426929365337,-0.27493315947418545,0.014359208202527377,33,397.50853204727173,3.6126084327697754
2.7917776584625242,0.12496465993420373,0.03755044937133789,0.0014965199159411916,0.7572390898667042,0.44602327758855664,0.09967079389958944,7,5,1297,0.6451033620305648,0.6689240596630996,0.9456670260287612,"{'colsample_bytree': np.float64(0.7572390898667042), 'gamma': np.float64(0.44602327758855664), 'learning_rate': np.float64(0.09967079389958944), 'max_depth': 7, 'min_child_weight': 5, 'n_estimators': 1297, 'reg_alpha': np.float64(0.6451033620305648), 'reg_lambda': np.float64(0.6689240596630996), 'subsample': np.float64(0.9456670260287612)}",-0.25829890626199936,-0.2738647479497573,-0.2863972091254338,-0.28645768524011467,-0.26435290734545797,-0.27387429118455264,0.011387842082519419,26,397.50853204727173,3.6126084327697754
